,Title,Vote_Average
4558,Big,7.1
4559,Superman II,6.7
4560,"10,000 Days",2.8
4561,An Extremely Goofy Movie,6.3
4562,Pokémon the Movie: Kyurem vs. the Sword of Justice,6.3
4563,Vampire Academy,6.3
4564,Imperium,6.4
4565,Once Upon a Time in Venice,5.2
4566,Robin-B-Hood,7.0
4567,Homeward Bound II: Lost in San Francisco,6.5
4568,A Streetcar Named Desire,7.7
4569,What Dreams May Come,7.2
4570,Four Weddings and a Funeral,6.8
4571,The 300 Spartans,6.3
4572,Riders of Justice,7.2
4573,Troll Hunter,6.7
4574,Zombie Strippers!,4.8
4575,SuperFly,6.8
4576,Perfect Blue,8.3
4577,Elf,6.7
4578,Bad Santa 2,5.3
4579,Inuyasha the Movie 4: Fire on the Mystic Island,7.7
4580,The Invincible Iron Man,6.2
4581,Bergen,0.0
4582,Ghost in the Shell 2.0,7.5
4583,The NeverEnding Story II: The Next Chapter,5.7
4584,Kung Fu Panda: Secrets of the Furious Five,6.7
4585,Paranormal Activity 2,5.8
4586,Meskina,6.3
4587,City Hunter,6.5
4588,Paper Towns,6.1
4589,Jimmy Neutron: Boy Genius,5.9
4590,Cook Up a Storm,7.5
4591,The Secret Life of Pets,6.2
4592,The Giver,6.5
4593,Batman Beyond: The Movie,7.4
4594,Isn't It Romantic,6.2
4595,Batman Ninja,5.8
4596,True Grit,7.5
4597,Tales of Vesperia: The First Strike,6.3
4598,"Monster High: Boo York, Boo York",7.6
4599,Just Like Heaven,6.9
4600,The 13th Warrior,6.6
4601,Mortdecai,5.5
4602,The Dukes of Hazzard: The Beginning,6.2
4603,A Goofy Movie,6.9
4604,"Angus, Thongs and Perfect Snogging",6.4
4605,Just Before I Go,6.5
4606,Immortals,5.9
4607,I Am Mother,6.7
4608,Conan the Destroyer,6.1
4609,Black Book,7.5
4610,A Most Violent Year,6.6
4611,The Machinist,7.5
4612,A Dark Truth,5.6
4613,Borat Subsequent Moviefilm,6.5
4614,Where Eagles Dare,7.6
4615,The School Teacher,5.2
4616,Little Monsters,5.8
4617,Mary and The Witch's Flower,7.1
4618,Mobile Suit Gundam I,6.8
4619,Legends of Oz: Dorothy's Return,6.1
4620,Return to Jurassic Park,6.8
4621,Afro Samurai: Resurrection,6.9
4622,Barbie & Her Sisters in a Puppy Chase,6.9
4623,The Graduate,7.7
4624,The Boy Next Door,4.8
4625,Sympathy for Lady Vengeance,7.5
4626,Ratchet & Clank,5.8
4627,Breakfast at Tiffany's,7.7
4628,Practical Magic,6.7
4629,Good Kids,6.4
4630,Babe,6.2
4631,Menace II Society,7.5
4632,Hours,6.7
4633,Wendy Wu: Homecoming Warrior,6.1
4634,Khumba,6.0
4635,Jarhead 3: The Siege,6.4
4636,Italian Spiderman,7.1
4637,Animal World,7.3
4638,Tom and Jerry: The Movie,6.3
4639,The Wild Thornberrys Movie,6.5
4640,The Dead Pool,6.3
4641,After the Sunset,6.1
4642,Echo Boomers,5.7
4643,In Your Eyes,7.2
4644,There's Something About Mario,5.8
4645,Mater,6.2
4646,Extinction,6.2
4647,Street Fighter,4.5
4648,Stuck in Love,7.4
4649,Beautiful Creatures,6.0
4650,Anchorman 2: The Legend Continues,6.1
4651,Mother's Job,4.7
4652,1922,5.9
4653,Tangled: Before Ever After,6.8
4654,Cradle 2 the Grave,6.1
4655,Mune: Guardian of the Moon,7.3
4656,How to Make Love to a Woman,4.4
4657,Melissa P.,4.3
4658,The Warriors,7.7
4659,I Kill Giants,6.2
4660,Journey to the Center of the Earth,7.0
4661,Vice,4.4
4662,A Turtle's Tale: Sammy's Adventures,5.9
4663,The Key,5.9
4664,The Legend of the Chupacabras,7.2
4665,Valkyrie,6.9
4666,Ice Soldiers,5.3
4667,Killing Cabos,7.9
4668,The Saint,5.3
4669,World's Greatest Dad,6.5
4670,Pokémon: Zoroark - Master of Illusions,6.6
4671,Paranormal Movie,4.1
4672,"Ed, Edd n Eddy's Big Picture Show",7.2
4673,Rosario Tijeras,6.1
4674,End of Watch,7.3
4675,Bridesmaids,6.5
4676,Psychokinesis,6.2
4677,Lucky Number Slevin,7.5
4678,Collateral,7.2
4679,The Goldfinch,7.2
4680,Mary Queen of Scots,6.6
4681,Ravenous,5.9
4682,Hey Arnold! The Jungle Movie,7.6
4683,Outlaw King,6.8
4684,"Extremely Wicked, Shockingly Evil and Vile",7.0
4685,Gully,4.7
4686,"No Retreat, No Surrender",6.2
4687,Fallen Angels,7.7
4688,Hairspray,6.7
4689,The Bridge on the River Kwai,7.8
4690,Beverly Hills Cop,7.2
4691,Bigfoot Family,7.1
4692,Filth,6.9
4693,COVID-21: Lethal Virus,5.5
4694,The Dukes of Hazzard,5.5
4695,Cruel Intentions 3,4.7
4696,Deliver Us from Evil,6.2
4697,Cutthroat Island,5.7
4698,Blank Check,5.8
4699,Casino Royale,5.4
4700,Color Out of Space,6.0
4701,Deadly Illusions,5.0
4702,Replicas,6.1
4703,Great Expectations,7.3
4704,Breathe,7.4
4705,The Great Hack,6.8
4706,The Vatican Tapes,5.2
4707,ReLIFE,7.8
4708,A Dark Place,6.0
4709,Ghost Dog: The Way of the Samurai,7.3
4710,Hop,5.7
4711,Blade of the Immortal,6.5
4712,Flags of Our Fathers,6.8
4713,Yogi Bear,5.6
4714,Megan Is Missing,6.3
4715,The Secret of Kells,7.4
4716,Corazón ardiente,0.0
4717,Happy Gilmore,6.6
4718,Last Man,0.0
4719,My Bloody Valentine,5.5
4720,Detachment,7.6
4721,Barbie: Star Light Adventure,7.1
4722,Once Upon a Time in Mexico,6.3
4723,Les Misérables,7.3
4724,My Boyfriend's Meds,7.1
4725,Journey to the West: Conquering the Demons,7.0
4726,The Road,7.0
4727,Amityville II: The Possession,5.8
4728,Errementari: The Blacksmith and the Devil,6.4
4729,Beastly,6.3
4730,The Secret Scripture,7.3
4731,We're Back! A Dinosaur's Story,6.0
4732,Small Soldiers,6.5
4733,Darkness Falls,5.5
4734,Combat Wombat,6.9
4735,Legend,6.3
4736,The Wedding Planner,5.9
4737,Serenity,7.4
4738,The Tale of Despereaux,6.0
4739,Doraemon: Nobita's Treasure Island,7.0
4740,The Beautician and the Beast,6.8
4741,V.C. Andrews' Pearl in the Mist,7.3
4742,IO,4.9
4743,The Tuxedo,5.7
4744,Blood Ties,6.1
4745,Police Academy 5: Assignment Miami Beach,5.1
4746,Soul Plane,5.2
4747,Bridge of Spies,7.2
4748,Hellbound: Hellraiser II,6.3
4749,Suffragette,7.3
4750,Jexi,6.9
4751,Donnie Brasco,7.5
4752,iBoy,6.0
4753,Closed Circuit,5.9
4754,The Entity,6.6
4755,My Best Friend Anne Frank,6.5
4756,The Sandlot,7.5
4757,The Holiday,7.1
4758,Happily N'Ever After,4.9
4759,The Last Emperor,7.6
4760,Stasis,3.5
4761,The Boxtrolls,6.7
4762,Deliverance,7.3
4763,RoboCop 3,4.7
4764,Forgetting Sarah Marshall,6.5
4765,Wolf Warrior 2,6.7
4766,"Game Over, Man!",5.5
4767,Day of the Dead,5.2
4768,Children of Men,7.6
4769,Gerald's Game,6.4
4770,The Lincoln Lawyer,7.2
4771,The Untouchables,7.8
4772,The Girl Next Door,6.7
4773,The Tin Drum,7.0
4774,Arpeggio of Blue Steel -Ars Nova Cadenza-,7.6
4775,Starship Troopers: Traitor of Mars,5.9
4776,How High,6.3
4777,The Nutty Professor,5.6
4778,The Dry,6.8
4779,The King's Speech,7.7
4780,Ewoks: The Battle for Endor,5.3
4781,El Paseo 5: El Paseo de Oficina,7.9
4782,Zoolander 2,4.8
4783,Sierra Burgess Is a Loser,6.4
4784,Hollow Man,5.9
4785,The Four of Us,5.7
4786,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,7.6
4787,Willow,7.0
4788,The Colony,5.7
4789,The Book of Henry,7.5
4790,As Good as It Gets,7.4
4791,Serendipity,6.8
4792,Only Yesterday,7.3
4793,A Cop Movie,7.3
4794,The Emperor of Paris,6.4
4795,Moneyball,7.2
4796,Run All Night,6.4
4797,X,0.0
4798,Money Monster,6.4
4799,Crystal Lake Memories: The Complete History of Friday the 13th,7.9
4800,Stop,4.0
4801,Max 2: White House Hero,7.2
4802,Never Say Never Again,6.0
4803,Sixteen Candles,6.8
4804,Jackass Presents: Bad Grandpa .5,5.9
4805,Time of EVE: The Movie,7.3
4806,Monster High: Why Do Ghouls Fall in Love?,7.9
4807,Porky's,6.4
4808,The Exception,6.9
4809,Bad Genius,8.0
4810,Balto,7.3
4811,DragonHeart,6.6
4812,Arlo the Alligator Boy,6.8
4813,Kickboxer: Vengeance,5.0
4814,Angels of Sex,6.5
4815,Dear John,6.9
4816,Van Wilder: Freshman Year,5.4
4817,Inferno,6.1
4818,Escape from New York,7.1
4819,Taxi,6.6
4820,Monster High: Great Scarrier Reef,7.7
4821,Say 'I Love You',7.0
4822,The Monkey King 2,5.8
4823,When Harry Met Sally...,7.4
4824,My Mother the State,0.0
4825,Star Trek: The Motion Picture,6.5
4826,The Last Legion,5.6
4827,Ma mère,4.5
4828,Sliver,5.4
4829,The Happytime Murders,5.7
4830,Mr. Nice Guy,6.5
4831,John Q,7.2
4832,Power/Rangers,7.1
4833,Mushi-Shi: The Next Chapter - Drops of Bells,8.5
4834,Mickey's Magical Christmas: Snowed in at the House of Mouse,7.0
4835,SlugTerra: Return of the Elementals,6.4
4836,The Last Summer,6.0
4837,When a Stranger Calls,5.7
4838,Becoming A Black Woman,0.0
4839,Waiting...,6.3
4840,Passenger 57,5.9
4841,Things Heard & Seen,5.8
4842,Fullmetal Alchemist the Movie: The Sacred Star of Milos,7.0
4843,The Love Witch,6.3
4844,The Dressmaker,7.0
4845,Skyfire,6.6
4846,Fist of the North Star: Legend of Raoh - Chapter of Death in Love,6.7
4847,Death Warrant,6.2
4848,Term Life,5.9
4849,Hostage,6.3
4850,Black Mask,6.1
4851,Gandhi,7.5
4852,We Are Like Waves,0.0
4853,Rim of the World,6.0
4854,Puss in Book: Trapped in an Epic Tale,6.5
4855,The Love Bug,6.5
4856,Notting Hill,7.2
4857,Dragon Nest: Warriors' Dawn,7.7
4858,Déjà Vu,6.8
4859,Jaws 3-D,4.4
4860,Doraemon: Nobita's Dorabian Nights,7.1
4861,The Kingdom,6.7
4862,The Poughkeepsie Tapes,6.6
4863,Nice Sister-In-Law 3,0.0
4864,Anne of Green Gables,8.1
4865,Twin Dragons,6.6
4866,Harold & Kumar Escape from Guantanamo Bay,6.2
4867,Julia X,5.0
4868,JFK,7.6
4869,10x10,5.3
4870,A Bridge Too Far,7.2
4871,Bandidas,6.0
4872,Like a Boss,6.4
4873,Close Encounters of the Third Kind,7.4
4874,Red Rocket,6.8
4875,Bridget Jones's Baby,6.4
4876,Ghost Team One,5.4
4877,Barbie in Princess Power,6.3
4878,Colette,7.0
4879,Bleach,6.6
4880,Billy Lynn's Long Halftime Walk,6.0
4881,Le Chef,6.1
4882,Wheels on Meals,7.0
4883,Dr. Dolittle 2,5.3
4884,Centurion,6.2
4885,Harakiri,8.4
4886,Stowaway,5.9
4887,Supergirl,5.5
4888,Another Gantz,7.3
4889,Pokémon: Destiny Deoxys,6.5
4890,Detective Dee and the Mystery of the Phantom Flame,6.6
4891,Bad Sister,6.8
4892,Nurse 3-D,5.3
4893,Star Trek: Nemesis,6.3
4894,The Drug King,6.2
4895,Closer,6.8
4896,Super Mario Bros.,4.2
4897,Death Wish II,6.2
4898,Premonition,6.3
4899,Serial (Bad) Weddings,6.7
4900,I Spy,5.4
4901,Inside Man: Most Wanted,6.7
4902,The Knight Before Christmas,6.5
4903,The Tree of Life,6.7
4904,"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",7.4
4905,Confessions of a Teenage Drama Queen,5.6
4906,Get Smart,6.2
4907,Operation Finale,6.7
4908,Touch of Evil,7.8
4909,My Little Pony: Equestria Girls,7.3
4910,Room,8.1
4911,Duck Duck Goose,6.2
4912,"Hail, Caesar!",5.9
4913,Non-Stop,6.8
4914,Dragon Ball: Goku's Traffic Safety,6.7
4915,The World's Fastest Indian,7.6
4916,American Ninja,5.9
4917,The Forest of Love,6.6
4918,Blair Witch,5.2
4919,Metropolis,7.1
4920,The Land Before Time,7.1
4921,The Eyes of Tammy Faye,6.6
4922,Hooking Up,6.6
4923,Seven Pounds,7.6
4924,G-Zombie,4.8
4925,Elite Squad: The Enemy Within,7.8
4926,Titan A.E.,6.6
4927,The Nut Job,5.7
4928,That Which Does Not Kill,0.0
4929,Stomp the Yard 2: Homecoming,5.4
4930,Halloween H20: 20 Years Later,6.0
4931,The Hot Spot,6.3
4932,The Quick and the Dead,6.5
4933,The Spirit,4.7
4934,Children of the Corn II: The Final Sacrifice,4.7
4935,The Darkest Hour,5.3
4936,Squared Love,6.1
4937,Dangerous Minds,6.9
4938,Arthur 3: The War of the Two Worlds,5.8
4939,Surf's Up 2: WaveMania,6.3
4940,Scooby-Doo! Stage Fright,7.8
4941,Perdida,6.3
4942,Green Snake,8.7
4943,Palm Springs,7.3
4944,A United Kingdom,6.7
4945,Inheritance,6.4
4946,Under Siege 2: Dark Territory,5.7
4947,Goal!,6.7
4948,Agent Cody Banks,5.4
4949,All Star Superman,7.0
4950,American Animals,6.8
4951,Hang 'em High,6.8
4952,My Little Pony: Equestria Girls - Legend of Everfree,7.4
4953,George of the Jungle,5.6
4954,Outsiders,0.0
4955,Capernaum,8.2
4956,Shaun the Sheep Movie,7.0
4957,Big Trouble in Little China,7.2
4958,18 Year Old Virgin,3.8
4959,Doraemon: Nobita and the Spiral City,7.0
4960,Splash,6.3
4961,The Scorpion King 2: Rise of a Warrior,4.6
4962,21 & Over,5.8
4963,The Art of Getting By,6.6
4964,Sleepless in Seattle,6.7
4965,The Twelve Tasks of Asterix,7.4
4966,Aliens in the Attic,5.6
4967,The Admiral: Roaring Currents,7.1
4968,Universal Soldier: The Return,5.5
4969,Soldier,6.3
4970,Kung Fu Panda Holiday,6.9
4971,Irreplaceable You,7.0
4972,Final: The Rapture,4.0
4973,The Bye Bye Man,5.2
4974,Little Italy,6.8
4975,Shark Attack 3: Megalodon,4.3
4976,"O Brother, Where Art Thou?",7.3
4977,Sea Fever,6.4
4978,Anthropoid,7.1
4979,Valiant,5.5
4980,The Wave,7.5
4981,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,6.7
4982,The Woods,5.7
4983,The Master,7.2
4984,Doctor Zhivago,7.6
4985,The Walking Deceased,5.4
4986,The Last Exorcism Part II,4.7
4987,Twins,6.0
4988,Shattered,6.4
4989,Village of the Damned,6.0
4990,The Good Shepherd,6.3
4991,Scooby-Doo! Legend of the Phantosaur,7.9
4992,Savage Dog,5.3
4993,Boo! A Madea Halloween,5.7
4994,Fast & Furious,6.7
4995,Godzilla: City on the Edge of Battle,6.5
4996,Summer of 84,6.8
4997,We Bought a Zoo,6.7
4998,Cool Runnings,7.0
4999,Mimic,6.0
5000,"Honey, I Blew Up the Kid",5.2
5001,Minuscule 2: Mandibles from Far Away,7.0
5002,Bound,7.1
5003,First Strike,6.4
5004,Coherence,7.3
5005,Sailor Moon R: The Movie,7.9
5006,Seven Years in Tibet,7.2
5007,Churchill,6.1
5008,"Strip Down, Rise Up",7.1
5009,How the Grinch Stole Christmas!,7.5
5010,Trust,6.8
5011,Cottage Country,5.3
5012,Marrowbone,7.2
5013,Once Upon a Time in China II,7.2
5014,Kung Fu Panda: Secrets of the Scroll,6.8
5015,American Traitor: The Trial of Axis Sally,5.8
5016,The Jackal,6.3
5017,Point Break,7.1
5018,Naked,7.4
5019,The Crucifixion,5.6
5020,Just Wright,6.3
5021,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,6.1
5022,Out of Africa,7.2
5023,Tremors 4: The Legend Begins,5.5
5024,Clue,7.2
5025,Balto II: Wolf Quest,6.3
5026,The Green Hornet,5.5
5027,Ouija House,5.5
5028,Detective Conan: Dimensional Sniper,7.0
5029,Addams Family Reunion,4.6
5030,The Infiltrator,6.6
5031,Tremors: Shrieker Island,6.5
5032,Stretch,6.1
5033,Taxi 3,5.7
5034,Take Me Home Tonight,6.0
5035,The Peanut Butter Falcon,7.4
5036,Mower Minions,6.6
5037,MILF,5.9
5038,Extortion,6.1
5039,Free State of Jones,6.7
5040,Ginger Snaps,6.8
5041,Rosemary's Baby,7.8
5042,Gretel & Hansel,6.0
5043,Joe Dirt,5.5
5044,The White Tiger,6.9
5045,Graveyard Shift,5.2
5046,Contact,7.4
5047,To Rome with Love,5.8
5048,I'm a Porn Star: Gay 4 Pay,7.6
5049,North by Northwest,8.0
5050,Once Upon a Time: The Super Heroes,5.8
5051,The War of the Worlds,6.9
5052,Daybreakers,6.3
5053,Heartbreak Ridge,6.8
5054,Panic Room,6.7
5055,Maya the Bee Movie,6.2
5056,Scooby-Doo! and the Curse of the 13th Ghost,8.0
5057,Manhattan,7.8
5058,Jesus Christ Superstar,7.1
5059,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.7
5060,The Paramedic,6.1
5061,Flee,8.1
5062,King Kong Lives,5.3
5063,Anacondas: Trail of Blood,4.8
5064,The Car: Road to Revenge,6.5
5065,Beautiful Boy,7.5
5066,2001 Maniacs,5.3
5067,Paradise Hills,6.0
5068,Awakening the Zodiac,5.1
5069,Office Christmas Party,5.6
5070,Harley Davidson and the Marlboro Man,6.3
5071,Phantom Thread,7.3
5072,Minuscule: Valley of the Lost Ants,6.9
5073,Red Dog,7.2
5074,Rock Dog,6.1
5075,Antichrist,6.7
5076,Land of the Lost,5.4
5077,Offering to the Storm,6.5
5078,Secrets of the Saqqara Tomb,7.4
5079,"Ni tuyo, Ni mía",8.9
5080,The Beach House,5.6
5081,The Vanishing,5.6
5082,Morgan,5.8
5083,La Femme Nikita,7.1
5084,Settlers,4.6
5085,Fireheart,6.7
5086,Pokémon the Movie: Diancie and the Cocoon of Destruction,6.4
5087,Flash Point,6.9
5088,Elvis,0.0
5089,Killer Klowns from Outer Space,6.4
5090,Just Mercy,8.0
5091,The Taking of Pelham 1 2 3,6.3
5092,Inspector Gadget,4.4
5093,Sleepwalkers,5.9
5094,Austin Powers in Goldmember,6.0
5095,The Last Thing He Wanted,4.9
5096,Pelé: Birth of a Legend,7.4
5097,Deep,6.0
5098,Carol,7.5
5099,Urusei Yatsura: Always My Darling,5.7
5100,Stalingrad,7.3
5101,Inherit the Wind,7.8
5102,Phone Booth,6.8
5103,Dragons: Rescue Riders: Huttsgalor Holiday,5.5
5104,Ichi the Killer,7.1
5105,Winx Club: The Secret of the Lost Kingdom,6.9
5106,Road to Perdition,7.4
5107,Constantine: The House of Mystery,0.0
5108,2 Hearts,7.7
5109,The Cell,6.3
5110,Marvel's Behind the Mask,7.6
5111,Asking For It,6.0
5112,The Three Caballeros,6.4
5113,Tokyo Revengers,8.0
5114,Escape from the Planet of the Apes,6.3
5115,The Bribe of Heaven,6.9
5116,Ophelia,7.3
5117,Layer Cake,7.0
5118,Home Again,6.1
5119,Residente,6.8
5120,Crash,6.5
5121,Thumbelina,6.5
5122,Dark Water,5.5
5123,Howl,5.4
5124,Barb Wire,4.0
5125,Hunt for the Wilderpeople,7.7
5126,The Faculty,6.5
5127,Bingo,5.0
5128,Death Race 2050,4.2
5129,Made of Honor,6.4
5130,Timeline,5.7
5131,Sleeping with Other People,6.3
5132,Sexy Comedy,5.2
5133,Behind Enemy Lines,6.3
5134,Hugas,5.8
5135,The Woman in Red,6.2
5136,Neppuu Kairiku Bushi Road,6.5
5137,Cargo,6.4
5138,Acts of Violence,5.7
5139,Cobain: Montage of Heck,7.8
5140,French Exit,5.8
5141,Days of Thunder,6.3
5142,James and the Giant Peach,6.5
5143,Wag the Dog,7.0
5144,Flight of the Navigator,6.9
5145,Snatched,5.4
5146,Just Short of Perfect,6.3
5147,Wind Chill,5.8
5148,Marie Antoinette,6.6
5149,Come Play,6.3
5150,The Parent Trap,7.1
5151,The Best of Me,7.5
5152,It's Only the End of the World,7.2
5153,Grease 2,5.1
5154,Mortadelo and Filemon: Mission Implausible,6.5
5155,The Greatest Story Ever Told,6.4
5156,Return to Sender,5.9
5157,Daphne & Velma,6.4
5158,Jerry Maguire,6.9
5159,High Life,5.8
5160,Sleep Tight,7.1
5161,Vampire Hunter D,6.6
5162,Creation,6.4
5163,Shanghai Knights,6.1
5164,Operation Red Sea,6.9
5165,Burying the Ex,5.5
5166,High Strung,7.1
5167,Miss Bala,6.4
5168,A Perfect World,7.5
5169,Mona Lisa Smile,6.9
5170,St. Agatha,5.7
5171,Vegas Vacation,6.1
5172,A Walk in the Clouds,7.2
5173,Porno Baby,5.6
5174,Dead Again in Tombstone,5.0
5175,Full Speed,5.9
5176,The Apostle,6.4
5177,Wild Orchid,5.3
5178,Lying and Stealing,6.0
5179,End of a Gun,4.9
5180,Casper's Scare School,5.1
5181,Beverly Hills Ninja,5.6
5182,Entourage,6.2
5183,Elephant,7.1
5184,Hawaiian Vacation,7.0
5185,Pola X,5.7
5186,All I See Is You,5.1
5187,No Half Measures: Creating the Final Season of Breaking Bad,8.5
5188,New Initial D the Movie - Legend 1: Awakening,8.3
5189,The Trial of the Chicago 7,7.8
5190,Brooklyn,7.3
5191,Hotel Mumbai,7.6
5192,Too Handsome To Handle,6.6
5193,Pokémon the Movie: Genesect and the Legend Awakened,6.5
5194,Office Space,7.4
5195,A Fall from Grace,7.1
5196,Kaamelott: The First Chapter,7.1
5197,I Saw the Devil,7.8
5198,The Man Who Knew Infinity,7.2
5199,The Dyatlov Pass Incident,5.8
5200,Tiffany + Chucky,8.5
5201,Last Tango in Paris,7.0
5202,Midway,6.6
5203,A Trash Truck Christmas,6.6
5204,4x4,6.4
5205,Justin and the Knights of Valour,5.9
5206,Jane Got a Gun,5.8
5207,Close to the Horizon,8.0
5208,Taxi 5,5.6
5209,The Witches of Eastwick,6.5
5210,Hanna,6.6
5211,Star Trek IV: The Voyage Home,7.2
5212,LEGO Marvel Spider-Man: Vexed by Venom,7.5
5213,Escape From Alcatraz,7.5
5214,The Big Sick,7.4
5215,Dumb and Dumberer: When Harry Met Lloyd,4.1
5216,Between Worlds,5.2
5217,The English Patient,7.2
5218,National Security,5.9
5219,"Crouching Tiger, Hidden Dragon: Sword of Destiny",6.1
5220,How to Lose a Guy in 10 Days,6.7
5221,The Princess Bride,7.7
5222,Curious George 2: Follow That Monkey!,6.6
5223,Hostile,5.7
5224,Max Payne,5.3
5225,Don't Knock Twice,5.5
5226,Extraterrestrial,5.5
5227,Bad Samaritan,6.8
5228,Thelma & Louise,7.6
5229,The Prodigy,6.2
5230,Captain America,4.7
5231,Baise-moi,4.3
5232,Slither,6.5
5233,UFO,7.0
5234,The Witch: Part 1. The Subversion,7.6
5235,The Rookie,5.9
5236,The Girl on the Train,5.8
5237,Early Man,6.1
5238,Bruce Lee: A Warrior's Journey,7.5
5239,The Lake House,6.9
5240,Only You,6.8
5241,Handsome Devil,7.1
5242,My Spy,6.9
5243,Draug,5.3
5244,Crime Busters,6.9
5245,The Cave,5.3
5246,The Sicilian Clan,7.7
5247,Paradox,6.5
5248,La leyenda del Charro Negro,8.0
5249,Anna Karenina,6.7
5250,Wild Things: Diamonds in the Rough,4.9
5251,Pacto de Fuga,7.7
5252,DuckTales: The Movie - Treasure of the Lost Lamp,6.8
5253,Barbershop 2: Back in Business,5.8
5254,Pokémon Ranger and the Temple of the Sea,6.4
5255,Stealing Beauty,6.7
5256,Dogtooth,7.1
5257,Final Fantasy: The Spirits Within,6.2
5258,Hotel Artemis,6.0
5259,Collide,5.5
5260,Woochi : The Demon Slayer,6.6
5261,Biker Boyz,6.1
5262,Silver Bullet,6.5
5263,Widows,6.5
5264,The Curious Dr. Humpp,4.9
5265,Wedding Daze,5.4
5266,Smokin' Aces,6.5
5267,Broken Arrow,6.0
5268,Disturbia,6.7
5269,Dracula,7.2
5270,Black Mass,6.4
5271,The Possession,6.0
5272,Ultraviolet,5.2
5273,The Call of Sex,4.6
5274,Tom and Jerry: Shiver Me Whiskers,6.8
5275,Mary Shelley,7.0
5276,Van Wilder 2: The Rise of Taj,5.0
5277,Flightplan,6.4
5278,Return of the Seven,6.1
5279,Bereavement,5.2
5280,A la mala,7.6
5281,That Malicious Age,6.6
5282,Monty Python and the Holy Grail,7.8
5283,All the Devil's Men,6.0
5284,Children of the Sea,7.2
5285,The Death of the Incredible Hulk,5.0
5286,The Omen,5.5
5287,Ocean Waves,6.3
5288,Jawbreaker,6.2
5289,The Benchwarmers,5.8
5290,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",7.8
5291,White Boy Rick,6.3
5292,Ringu 0,6.2
5293,The Treasure of the Sierra Madre,8.0
5294,The Art of the Steal,6.2
5295,Wishmaster 4: The Prophecy Fulfilled,4.7
5296,Futurama: Bender's Big Score,7.4
5297,Hellraiser: Deader,4.7
5298,Belle,7.2
5299,Excalibur,7.0
5300,Sunshine,6.9
5301,Don't Let Go,6.9
5302,Flatliners,5.7
5303,Magical Girl Lyrical Nanoha: Reflection,6.9
5304,Cats,6.6
5305,Knockaround Guys,5.9
5306,Woman with Pierced Nipples,4.7
5307,Star Trek: First Contact,7.3
5308,Transcendence,6.0
5309,Kids in Love,6.1
5310,Seeking a Friend for the End of the World,6.6
5311,Arctic Dogs,6.2
5312,Black Christmas,5.1
5313,Halloween Ends,0.0
5314,Duel,7.4
5315,BLACKPINK: Light Up the Sky,8.5
5316,Non Non Biyori: Vacation,6.9
5317,The Jewel of the Nile,6.2
5318,Monos,6.7
5319,Saw,7.0
5320,Rugrats in Paris: The Movie,6.6
5321,An American Werewolf in Paris,5.9
5322,Under the Tuscan Sun,6.8
5323,The Dig,6.9
5324,The Roommate,5.4
5325,Radioactive,6.6
5326,D.E.B.S.,6.4
5327,The Humanity Bureau,4.8
5328,A Fish Called Wanda,7.2
5329,The Highwaymen,6.7
5330,All About Eve,8.2
5331,Do It Like An Hombre,7.2
5332,El Siete Machos,8.0
5333,Flash Gordon,6.2
5334,Set It Up,7.0
5335,Super Troopers 2,5.8
5336,Lady Macbeth,6.6
5337,Heatwave,5.0
5338,The Aeronauts,6.8
5339,They Call Me Jeeg,7.5
5340,Critters 2,5.9
5341,Bill & Ted Face the Music,6.0
5342,Wild,7.0
5343,"Yours, Mine and Ours",6.7
5344,Emmanuelle 3,4.3
5345,The Final Countdown,6.6
5346,Teenage Mutant Ninja Turtles III,5.4
5347,Stalker,8.3
5348,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,6.8
5349,Look Who's Talking Now!,5.4
5350,Major Payne,6.3
5351,Five Nights at Freddy's: Home Breach,6.0
5352,Booksmart,7.1
5353,Standoff,6.0
5354,War and Peace,6.6
5355,Firebreather,7.6
5356,Little Shop of Horrors,6.9
5357,Straight from the Barrio,7.7
5358,The Prince,4.9
5359,Falling Down,7.3
5360,Trinity Is Still My Name,7.4
5361,Superman III,5.5
5362,The Last Paradiso,6.0
5363,The Quest,6.1
5364,Solomon Kane,5.9
5365,Line of Duty,6.0
5366,Snow Dogs,5.7
5367,Down Periscope,6.1
5368,Tremors 2: Aftershocks,6.2
5369,Sahara,5.8
5370,The Night Comes for Us,6.9
5371,Marauders,5.8
5372,Needful Things,6.2
5373,Wedding Crashers,6.5
5374,The Great Gilly Hopkins,6.6
5375,The Nutcracker: The Untold Story,5.2
5376,Orbiter 9,5.8
5377,Theorem,7.1
5378,The Time Machine,7.4
5379,Eraser,6.0
5380,"Elvira, Mistress of the Dark",6.5
5381,The Candy Witch,5.9
5382,American Murder: The Family Next Door,7.3
5383,Shriek If You Know What I Did Last Friday the Thirteenth,4.8
5384,The Night Before,6.1
5385,Parental Guidance,5.9
5386,The Iron Lady,6.4
5387,Oculus,6.4
5388,Radhe Shyam,0.0
5389,Dragged Across Concrete,6.5
5390,The Replacement Killers,6.2
