,Title,Vote_Average
266,The Haunting of Helena,5.6
267,Vanguard,6.3
268,Pirates of the Caribbean: The Curse of the Black Pearl,7.8
269,"The Simpsons: The Good, the Bart, and the Loki",7.5
270,The Marksman,7.0
271,Vicky and Her Mystery,7.3
272,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,8.4
273,7 Prisoners,7.1
274,11M,6.5
275,Seobok: Project Clone,7.6
276,Shrek 2,7.2
277,Percy Jackson & the Olympians: The Lightning Thief,6.2
278,Your Name.,8.5
279,Chief Daddy 2: Going for Broke,5.9
280,Captain America: Civil War,7.4
281,Joker,8.2
282,Jack Reacher,6.6
283,The Invisible Thread,6.7
284,SAS: Red Notice,5.9
285,Mulan,7.0
286,I Want You Back,6.1
287,Pirates of the Caribbean: Dead Man's Chest,7.3
288,Ninja Assassin,6.5
289,The Wolf of Wall Street,8.0
290,Hilda and the Mountain King,7.4
291,Rurouni Kenshin: The Beginning,7.8
292,Minnal Murali,7.2
293,Pokémon: Mewtwo Strikes Back - Evolution,6.7
294,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,7.0
295,Teenage Mutant Ninja Turtles,5.9
296,Fifty Shades of Grey,5.9
297,Never Back Down: Revolt,6.6
298,Wish Dragon,8.1
299,Ice Age,7.3
300,Fast & Furious Presents: Hobbs & Shaw,6.9
301,Toy Story 2,7.6
302,Sweet Girl,6.8
303,The Stronghold,7.5
304,Spirit Untamed,7.5
305,Tom Clancy's Without Remorse,7.1
306,Harry Potter and the Deathly Hallows: Part 1,7.8
307,Injustice,7.8
308,Nobody Sleeps in the Woods Tonight 2,4.0
309,American Badger,5.9
310,Evangelion: 3.0+1.0 Thrice Upon a Time,8.5
311,LOL Surprise: The Movie,6.8
312,Coraline,7.8
313,How I Became a Superhero,6.2
314,The Bad Guys,0.0
315,Venom,6.9
316,The Last Mercenary,6.8
317,Cars 2,6.0
318,Downfall: The Case Against Boeing,7.4
319,Ratatouille,7.8
320,Mickey and Minnie Wish Upon a Christmas,7.2
321,Dragon Ball Z: Broly – The Legendary Super Saiyan,7.2
322,Doctor Strange in the Multiverse of Madness,0.0
323,Death on the Nile,6.7
324,Army of the Dead,6.3
325,Home Sweet Home Alone,5.2
326,Carriers,6.1
327,Boyka: Undisputed IV,7.0
328,2012,5.8
329,Why Women Cheat,3.3
330,Sing,7.1
331,Green Lantern,5.2
332,Peninsula,6.9
333,Ted 2,6.3
334,High School Teacher: Maturing,5.9
335,Wonder Woman,7.3
336,A Day to Die,4.7
337,Cosmic Sin,4.2
338,Pirates of the Caribbean: At World's End,7.2
339,Legion,5.8
340,Rascal Does Not Dream of a Dreaming Girl,8.4
341,Peter Rabbit 2: The Runaway,7.3
342,Dragon Ball Z: Battle of Gods,6.8
343,My Little Pony: A New Generation,8.1
344,Redemption Day,6.3
345,Journey 2: The Mysterious Island,6.1
346,Love & Other Drugs,7.0
347,The King's Daughter,7.4
348,Deadpool 2,7.5
349,The Fate of the Furious,6.9
350,Hancock,6.3
351,The Hunger Games: Mockingjay - Part 1,6.8
352,Dragon Ball Z: Broly – Second Coming,6.7
353,The Conjuring,7.5
354,Sweet & Sour,7.9
355,The Belly of the Sea,4.0
356,Grisaia: Phantom Trigger The Animation,3.5
357,Fantastic Beasts and Where to Find Them,7.3
358,World War Z,6.8
359,"Barbie: Big City, Big Dreams",7.3
360,Teen Titans Go! See Space Jam,6.9
361,Jolt,6.7
362,Once Upon a Snowman,6.9
363,Outlaws,6.9
364,Mortal Kombat Legends: Battle of the Realms,8.0
365,Rogue Hostage,6.2
366,Fifty Shades Freed,6.7
367,Jiu Jitsu,5.0
368,Crank: High Voltage,6.0
369,The Lord of the Rings: The Fellowship of the Ring,8.4
370,Mulan,7.9
371,Thor,6.8
372,Sex and the City,6.6
373,Masquerade,6.4
374,The Little Mermaid,7.4
375,More the Merrier,6.8
376,The Exorcism of Carmen Farias,6.2
377,Train to Busan,7.8
378,Frozen,7.3
379,Naruto Shippuden the Movie: Road to Ninja,7.6
380,Inception,8.4
381,Girl in the Basement,8.1
382,The Proposal,7.1
383,Goblin Slayer: Goblin's Crown,7.6
384,Cinderella,7.0
385,El amarre,7.0
386,The Hangover,7.3
387,Charlie and the Chocolate Factory,7.0
388,Jurassic World: Fallen Kingdom,6.6
389,John Wick: Chapter 2,7.3
390,Mamá o papá,7.5
391,Toy Story 4,7.6
392,Twilight,6.3
393,Kingsman: The Secret Service,7.6
394,The Unforgivable,7.6
395,Pacific Rim,6.8
396,PAW Patrol: Jet To The Rescue,7.0
397,Titanic,7.9
398,The Hobbit: An Unexpected Journey,7.3
399,The Conjuring 2,7.3
400,Four to Dinner,6.2
401,Jack Reacher: Never Go Back,5.9
402,Jurassic World Dominion,0.0
403,Bordertown: The Mural Murders,6.9
404,The Misfits,5.5
405,Awake,6.0
406,Dhamaka,7.2
407,Fight Club,8.4
408,The Lion King,7.1
409,Malignant,7.0
410,The Karate Kid,6.5
411,Morbius,0.0
412,¡Qué Despadre!,4.0
413,Wrong Turn,6.0
414,The Flash,0.0
415,Black Panther,7.4
416,A Silent Voice: The Movie,8.4
417,Finding Nemo,7.8
418,Taken 3,6.2
419,The Lord of the Rings: The Return of the King,8.5
420,The Texas Chainsaw Massacre,6.2
421,Vivo,7.6
422,Batman: Death in the Family,7.2
423,Weathering with You,8.1
424,The Incredibles,7.7
425,Coming 2 America,6.6
426,Spoiled Brats,6.3
427,Iron Man,7.6
428,Plan A,6.1
429,Escape Room: Tournament of Champions,6.8
430,Batman & Robin,4.3
431,Abraham Lincoln: Vampire Hunter,5.7
432,Jurassic World,6.7
433,After Porn Ends 2,5.5
434,Rurouni Kenshin: The Final,7.9
435,Naruto Shippuden the Movie: Blood Prison,7.2
436,The Trip,6.7
437,Grown Ups,6.3
438,Dragon Ball Z: Bio-Broly,5.8
439,Pirates of the Caribbean: Dead Men Tell No Tales,6.6
440,Ice Age: Dawn of the Dinosaurs,6.7
441,The Penitent Thief,4.2
442,Pokémon the Movie: Secrets of the Jungle,7.3
443,Scooby-Doo,6.0
