invoice_number,invoice_time,store_id,product_id,category_id,num_item,price
10381,7/21/15 8:50,G619,15000231,70301,1,2
10391,7/21/15 9:27,G619,30000742,70101,1,1.5
10411,7/21/15 9:27,G619,30000742,70101,1,1.5
10424,7/21/15 9:27,G619,30000766,70101,1,1.5
10109,7/21/15 9:27,G619,30000766,70101,1,1.5
10122,7/21/15 9:53,G816,7071218,70101,1,3
10136,7/21/15 11:16,G628,7308017,210101,2,3.5
10148,7/21/15 12:10,G619,7070891,70401,1,6
10161,7/21/15 12:10,G619,7071102,70201,1,5.5
10171,7/21/15 12:11,G816,7070884,70203,1,2
10181,7/21/15 12:11,G816,7070969,70401,1,6
10192,7/21/15 12:15,G619,7070884,70203,1,2
10204,7/21/15 12:15,G619,7070891,70401,1,6
10212,7/21/15 12:15,G619,7070969,70401,1,6
10225,7/21/15 12:15,G619,7071096,70201,1,5
10240,7/21/15 12:15,G619,30000711,70101,1,1.5
10253,7/21/15 12:15,G619,30000766,70101,1,1.5
10266,7/21/15 12:20,G816,7070884,70203,1,2
10278,7/21/15 12:20,G816,7090370,70401,1,6
10287,7/21/15 12:23,G816,7070884,70203,1,2
10301,7/21/15 12:23,G816,7070969,70401,1,6
10310,7/21/15 12:24,G816,7070884,70203,1,2
10321,7/21/15 12:24,G816,7071096,70201,1,5
10331,7/21/15 12:24,G816,15000231,70301,1,2
10342,7/21/15 13:19,G619,15000231,70301,2,1.25
10356,7/21/15 13:20,G619,7071140,70201,1,2.5
10365,7/21/15 14:07,G816,7071218,70101,2,3
10377,7/21/15 14:07,G816,7314599,70101,1,1.5
10390,7/21/15 14:13,G619,7070891,70401,1,6
10406,7/21/15 14:13,G619,7070969,70401,1,5.75
10419,7/21/15 14:13,G619,7071102,70201,1,5.1
10102,7/21/15 15:30,G816,7090462,70101,3,1
10111,7/21/15 15:46,G619,7000133,210301,1,3
10125,7/21/15 16:04,G619,7000140,210301,1,1.5
10139,7/21/15 16:23,G628,7308765,210301,3,2.5
10149,7/21/15 16:56,G619,7070884,70203,1,2
10162,7/21/15 16:56,G619,7071096,70201,1,5
10173,7/21/15 16:58,G619,7070891,70401,1,6
10182,7/21/15 17:39,G816,7071096,70201,1,5
10193,7/21/15 17:59,G619,7070884,70203,1,2
10205,7/21/15 18:07,G619,7308017,210101,1,3.5
10215,7/21/15 18:08,G619,7070969,70401,1,5.75
10227,7/21/15 18:08,G619,15000231,70301,2,1.25
10244,7/21/15 18:18,G619,7070969,70401,1,6
10256,7/21/15 18:18,G619,15000231,70301,2,1.25
10280,7/21/15 18:23,G628,7308017,210101,2,3.5
10289,7/21/15 18:31,G619,15000231,70301,2,1.25
10304,7/21/15 18:34,G628,7308017,210101,1,3.5
10312,7/21/15 18:42,G628,7000126,210301,1,2
10322,7/21/15 18:43,G628,7308017,210101,1,3.5
10332,7/21/15 18:54,G816,15000231,70301,1,2
10346,7/21/15 18:58,G628,7000133,210301,2,3
10356,7/21/15 20:09,G628,20098391,210101,1,2.5
10369,7/21/15 20:11,G619,7000300,210101,1,2
10380,7/21/15 20:11,G619,7000300,210101,1,2
10391,7/21/15 20:17,G619,7070969,70401,1,6
10422,7/21/15 20:17,G619,7071096,70201,1,5
10102,7/21/15 20:40,G619,7070891,70401,1,6
10111,7/21/15 22:33,G619,7000300,210101,2,2
10126,7/21/15 22:37,G619,7308017,210101,1,3.5
10139,7/21/15 22:37,G619,7308017,210101,1,3.5
10149,7/21/15 22:43,G619,7070891,70401,1,6
10162,7/21/15 22:43,G619,7070969,70401,1,5.75
10173,7/21/15 22:43,G619,7071096,70201,1,5
10182,7/22/15 0:37,G628,7308017,210101,1,3.5
10193,7/22/15 7:50,G816,7314612,70101,1,1.5
10205,7/22/15 7:57,G816,7314612,70101,1,1.5
10215,7/22/15 7:57,G816,7000300,210101,1,2
10227,7/22/15 7:57,G816,7071218,70101,1,3
10244,7/22/15 7:57,G816,7090509,70101,1,1.5
10256,7/22/15 7:59,G816,7308017,210101,2,3.5
10280,7/22/15 8:16,G619,15000231,70301,2,1.25
10289,7/22/15 8:16,G628,7308765,210301,1,2.5
10304,7/22/15 8:17,G619,7000140,210301,1,1.5
10312,7/22/15 8:20,G619,7071096,70201,1,5
10322,7/22/15 8:22,G619,7000294,210101,4,1.5
10332,7/22/15 8:31,G816,7000300,210101,1,2
10347,7/22/15 8:31,G816,7070891,70401,1,6
10356,7/22/15 8:31,G816,7071096,70201,1,5
10369,7/22/15 8:39,G619,7070891,70401,2,6
